total_kwh,peak_w,mean_w,load_factor,morning_rise_h,evening_peak_h,night_day_ratio,n_peaks,household,day
28.241276767344345,8878.72572,2431.099865194635,0.27381179933494276,21.433333333333334,22.25,0.0,2,b10,2020-03-03
63.70693951845872,14539.635098333332,2654.4558132691136,0.1825668797955866,19.35,19.45,0.3480531200692648,1,b10,2020-03-04
56.19449494099758,9576.165051428572,2341.4372892082324,0.24450678080772395,7.033333333333333,19.7,0.3507955795573475,1,b10,2020-03-05
54.47224172143476,9258.847525,2269.676738393115,0.24513598828198818,9.266666666666667,18.116666666666667,0.23828680976009384,10,b10,2020-03-06
57.03230952051355,9457.80906,2377.997617255603,0.25143218711328086,12.016666666666667,23.266666666666666,0.2876809637155805,5,b10,2020-03-07
59.31238482519205,13159.62898,2474.786571287568,0.18805899277622098,5.333333333333333,20.833333333333332,0.3365455663442103,5,b10,2020-03-08
49.798147758352606,6959.2978175,2074.922823264692,0.29815117525895307,10.7,22.433333333333334,0.2707737979570559,8,b10,2020-03-09
54.141431847907164,8041.893401428571,2255.8929936627987,0.28051764442215305,10.566666666666666,18.466666666666665,0.28792029162273586,3,b10,2020-03-10
32.241443772982755,9542.050576666668,1343.393490540948,0.14078666631949846,5.15,19.3,0.3893585103805211,4,b10,2020-03-11
25.926171759244646,4688.0696825,1080.2571566351937,0.23042685578409033,6.116666666666666,21.066666666666666,0.4951347511494035,5,b10,2020-03-12
44.2414534716255,11958.555401428572,1843.3938946510627,0.15414854326224475,8.433333333333334,23.983333333333334,0.29077652389821707,1,b10,2020-03-13
58.028438718321034,11507.552201666667,2417.8516132633763,0.2101099843729749,7.283333333333333,17.966666666666665,0.3936824045956972,3,b10,2020-03-14
61.31101942913231,13715.132288333334,2558.178835707885,0.1865223595315941,4.05,18.283333333333335,0.28472264954611054,5,b10,2020-03-15
45.554899627937964,15466.470727272726,1898.1208178307486,0.1227248834786663,5.033333333333333,19.666666666666668,0.447196531042525,3,b10,2020-03-16
39.68711777988649,5872.159264999999,1653.6299074952708,0.281605084751609,8.983333333333333,19.916666666666668,0.45495323273666854,9,b10,2020-03-17
41.333295665098,11325.33753090909,1722.2206527124165,0.15206793157485463,8.916666666666666,19.766666666666666,0.43481951918257394,3,b10,2020-03-18
36.84013050849403,6907.319374166666,1535.0054378539178,0.22222882057471224,5.116666666666666,20.55,0.5290836864402364,3,b10,2020-03-19
38.49173005957044,8358.586468333333,1603.8220858154352,0.19187719022726465,4.783333333333333,21.166666666666668,0.520490754101864,4,b10,2020-03-20
